id,scam_flag,message
290,1,Netflix Subscription Suspended: Enter OTP 419836 to reactivate.
291,1,New Login Attempt from Unknown Location: Enter OTP 298734 to confirm it's you.
292,1,Payment Authorization Required: Enter OTP 562347 to confirm your transaction of $500.
293,1,PayPal Money Transfer Hold: Release funds now with OTP 586471.
294,1,PayPal Refund Request: Use OTP 472901 to confirm your request now.
295,1,Phone Bill Payment Issue: Enter OTP 419582 to resolve the problem.
296,1,Security Alert: A login attempt was made from a new device. Enter OTP 839210 to verify.
297,1,Suspicious Activity Detected: Confirm your identity with OTP 749205.
298,1,Unauthorized Fund Transfer Detected: Use OTP 513762 to stop the transfer.
299,1,Unauthorized withdrawal request detected! Use OTP 591207 to cancel.
300,1,"Urgent Action Needed! Someone is trying to transfer $2,000 from your account. Enter OTP 749230 to stop it."
301,1,Urgent Banking Alert: Enter OTP 394215 to reactivate your account.
302,1,Urgent Banking Alert: Enter OTP 409572 to prevent account freeze.
303,1,URGENT: Someone tried accessing your account! Use OTP 294580 to block them.
304,1,We are updating our security system: Use OTP 580217 to verify your details.
305,1,We have detected a login from a new device: Use OTP 648321 to allow access.
306,1,We need to verify your personal details: Enter OTP 650432 now.
307,1,WhatsApp Security Update: Enter OTP 490372 to keep your account safe.
308,1,"You have won a $1,000 gift card! Enter OTP 690435 to claim it."
309,1,Your Bank has detected unauthorized activity! Secure your funds by entering OTP 384672.
310,1,"Your Bank OTP: 917325. If this wasn’t you, secure your account at link."
311,1,Your Credit Card OTP is 876341. Click bank.com to confirm your transaction.
312,1,Your eBay account has been flagged: Use OTP 819752 to remove restrictions.
313,1,Your Facebook account is at risk! Verify with OTP 915627.
314,1,Your Loan Application is Approved: Enter OTP 563820 to access funds.
315,1,Your Loan Approval OTP is 572801. Enter at loan-site.com to claim funds.
316,1,Your medical insurance needs verification: Enter OTP 290314 to update your details.
317,1,Your mobile service is about to be deactivated! Confirm identity with OTP 794601.
318,1,"Your OTP is 482931. If you did not request this, please verify immediately: bank.com"
319,1,Your Paycheck Deposit Failed: Enter OTP 498762 to fix the issue.
320,1,"Your payment of $3,200 has been requested: Use OTP 730298 to approve or deny."
321,1,Your PayPal account is locked! Enter OTP 345612 to restore access now.
322,1,Your social security benefits have been paused: Confirm identity with OTP 685219.
323,1,Your streaming subscription is expiring! Renew now with OTP 328471.
324,1,Your tax refund is ready! Use OTP 654738 to claim your funds at tax.com.
325,1,Appointment Canceled: Click here to reschedule immediately: appointment.com
326,1,Bank Meeting Reminder: You have a financial review scheduled. Secure your details now: bank.com
327,1,Blood Donation Appointment Confirmation: Click here to check in: donation.com
328,1,Court Hearing Update: You must confirm attendance now: court.com
329,1,COVID-19 Test Scheduled: Please verify your details: testing.com
330,1,Credit Card Renewal Meeting: Please verify your identity now: credit.com
331,1,Debt Collection Agency Meeting: Log in to negotiate payment now: collections.com
332,1,Driver’s License Renewal: Your DMV appointment is today. Confirm your identity: dmv.com
333,1,Electricity Provider Meeting: Your home inspection is scheduled. Update details now: energy.com
334,1,Emergency Hearing Aid Consultation: Your spot is waiting! Click to verify: audio.com
335,1,Final Notice: Your IRS audit appointment is tomorrow. Reschedule here: irs.com
336,1,Final Reminder: Your financial advisor meeting is at 2 PM. Log in now: finance.com
337,1,Final Warning: You missed your car loan discussion. Reschedule immediately: loan.com
338,1,Final Warning: Your pet’s veterinary visit is tomorrow! Confirm now: vet.com
339,1,Financial Assistance Meeting Reminder: Log in to confirm your benefits: benefits.com
340,1,Flight Reschedule Appointment: Confirm your booking immediately: airline.com
341,1,Flu Shot Available for You! Click to book your free dose: pharmacy.com
342,1,Home Repair Inspection Reminder: Your technician will arrive soon. Log in to confirm: repair.com
343,1,IRS Tax Office Appointment: Your in-person review is at risk! Secure your file: tax.com
344,1,Jury Duty Summons: Your appointment is set for next week. Confirm here: justice.com
345,1,Medical Alert: Your surgery consultation has been modified. Log in to check: hospital.com
346,1,Missed Appointment Notice: Avoid penalties by rescheduling now: billing.com
347,1,Missed Your Insurance Review? Click here to reschedule: insurance.com
348,1,Reminder: Your doctor’s appointment is scheduled for tomorrow at 10 AM. Confirm here: clinic.com
349,1,Reminder: Your mortgage consultation is in one hour. Log in to verify: mortgage.com
350,1,Social Security Appointment Confirmation: Log in to verify: ssa.com
351,1,Student Loan Assistance Meeting: Secure your debt relief now: studentloan.com
352,1,Urgent Action Required: Your back surgery consultation was moved! Confirm details: hospital.com
353,1,Urgent Eye Exam Reminder: Your optometry visit is due. Confirm now: vision.com
354,1,Urgent Legal Notice: Your lawyer’s appointment needs confirmation. Click here: lawyer.com
355,1,Urgent Passport Renewal Meeting: Confirm attendance to avoid cancellation: passport.com
356,1,Urgent: Your child’s school admission interview is at risk! Confirm here: school.com
357,1,URGENT: Your dental checkup has been moved! Update your details now: dentist.com
358,1,Urgent: Your dentist canceled today’s visit! Reschedule now: dental.com
359,1,Urgent: Your real estate closing appointment has changed. Confirm here: housing.com
360,1,Urgent: Your skin care consultation is today. Click here to confirm: dermatology.com
361,1,Your Annual Physical Exam is Overdue. Verify your insurance now: insurance.com
362,1,Your Cable Service Technician is Arriving Soon! Log in to approve: tv.com
363,1,Your Cancer Screening is Pending! Secure your medical records now: healthcare.com
364,1,Your Child’s Pediatric Visit is Tomorrow! Secure your slot now: pediatrics.com
365,1,Your Church Community Meeting is Scheduled. Confirm attendance now: church.com
366,1,Your Eye Surgery Follow-Up is Tomorrow! Click here to finalize: optometry.com
367,1,Your Fitness Coach is Waiting! Confirm your session now: gym.com
368,1,Your Immigration Office Visit is Scheduled. Update your documents here: immigration.com
369,1,Your Job Interview is Confirmed! Log in to view details: careers.com
370,1,Your Pharmacy Refill Appointment is Today! Verify your prescription now: pharmacy.com
371,1,Your Retirement Planning Session is Booked! Secure your assets here: retirement.com
372,1,Your Therapy Session is Today. Log in to confirm: mentalhealth.com
373,1,Your vaccination appointment is due! Verify your slot here: health.com
374,1,Your Visa Interview is Tomorrow! Avoid cancellation by verifying here: visa.com
375,1,Amazon Hiring Urgently! Work from home & earn weekly pay. Apply here: amazonwork.com
376,1,Banking Job Available! Get hired with no experience. Apply here: financejobs.com
377,1,"Congrats! We’ve reviewed your resume, and you’re hired! Complete onboarding here: job.com"
378,1,Congrats! You’ve been selected for a secret shopper job. Confirm here: mysteryshopper.com
379,1,"Crypto Investment Job! Earn $10,000/month with training provided. Sign up now: crypto-trader.com"
380,1,Easy Data Entry Job! No experience needed. Secure your position: careers.com
381,1,"Fast Approval! Start earning $4,000/month as a personal assistant. Apply now: assistant.com"
382,1,Final Reminder: You’re pre-approved for a high-paying remote job. Confirm now: remotejobs.com
383,1,Google is Hiring! Remote jobs open. Apply now before spots fill: googlejobs.com
384,1,Government Assistance Jobs! Work with benefits. Click here to apply: fraud-governmenthiring.com
385,1,Government Job Alert! High-paying positions available now. Apply: governmentjobs.com
386,1,Immediate Hiring: PayPal support team needs workers. Click to join: paypaljobs.com
387,1,Immediate Hiring! Amazon needs remote workers. Sign up today: hiring.com
388,1,Limited Spots Available! Get a high-paying online job now: fraud-joblistings.com
389,1,No Resume? No Problem! Get hired instantly. Start today: quickhire.com
390,1,Part-Time Job Available! Earn $500 daily just by answering surveys. Sign up here: workfromhome.com
391,1,"Quick Cash Opportunity! Make $2,000/week just by posting ads. Join now: adsjob.com"
392,1,Remote Customer Service Role! Immediate openings. Secure your interview now: customer-service.com
393,1,"Urgent Hiring: Get paid daily! Work anytime, anywhere. Apply now: flexjobs.com"
394,1,Walmart Needs Employees! No interview required. Click to register: walmart-careers.com
395,1,Warehouse Job Openings! No skills needed. Apply now and start earning: warehouse.com
396,1,We’re Impressed With Your Profile! Start your job today. Confirm here: recruitment.com
397,1,"Work From Home! Earn $5,000/week with no experience. Apply now: job.com"
398,1,Your Dream Job Awaits! Start today and earn big. Click to register: jobnow.com
399,1,Your Resume Was Selected! Start your dream job today. Click here: fraud-jobportal.com
400,1,Urgent Follow up Reminder: Your gynecology visit is due. Confirm now: vision.com
